"","year","month","anom","dec.yr"
"04/01/86",1986,4,-0.186682990572963,1986.29166666667
"05/01/86",1986,5,-0.892330149001868,1986.375
"06/01/86",1986,6,-1.32254526737906,1986.45833333333
"07/01/86",1986,7,-1.33161947462294,1986.54166666667
"08/01/86",1986,8,-1.06437717220648,1986.625
"09/01/86",1986,9,-0.428009725844634,1986.70833333333
"10/01/86",1986,10,0.225119690261882,1986.79166666667
"11/01/86",1986,11,1.08245537016127,1986.875
"12/01/86",1986,12,0.797150054921303,1986.95833333333
"01/01/87",1987,1,0.606132027902577,1987.04166666667
"02/01/87",1987,2,0.748492143341519,1987.125
"03/01/87",1987,3,0.64203304133118,1987.20833333333
"04/01/87",1987,4,0.684176446945687,1987.29166666667
"05/01/87",1987,5,0.299405780911123,1987.375
"06/01/87",1987,6,-0.628071894813682,1987.45833333333
"07/01/87",1987,7,-1.06936211056179,1987.54166666667
"08/01/87",1987,8,-0.209093435023858,1987.625
"09/01/87",1987,9,0.079939679401677,1987.70833333333
"10/01/87",1987,10,0.172060430211426,1987.79166666667
"11/01/87",1987,11,0.232138050927056,1987.875
"12/01/87",1987,12,0.143838219526337,1987.95833333333
"01/01/88",1988,1,0.220735282432742,1988.04166666667
"02/01/88",1988,2,0.607194432075108,1988.125
"03/01/88",1988,3,0.249864148576731,1988.20833333333
"04/01/88",1988,4,0.0420007989981633,1988.29166666667
"05/01/88",1988,5,-0.0944692881772835,1988.375
"06/01/88",1988,6,-0.2058914541229,1988.45833333333
"07/01/88",1988,7,-0.123760117424859,1988.54166666667
"08/01/88",1988,8,-0.423373563502862,1988.625
"09/01/88",1988,9,-0.397636894288102,1988.70833333333
"10/01/88",1988,10,-0.316129902837076,1988.79166666667
"11/01/88",1988,11,-0.00856240590413402,1988.875
"12/01/88",1988,12,-0.113822911166886,1988.95833333333
"01/01/89",1989,1,-0.2335214640713,1989.04166666667
"02/01/89",1989,2,-0.700999145585347,1989.125
"03/01/89",1989,3,-0.535830609520599,1989.20833333333
"04/01/89",1989,4,0.0803082008671955,1989.29166666667
"05/01/89",1989,5,-0.403766108076101,1989.375
"06/01/89",1989,6,-0.593563136692616,1989.45833333333
"07/01/89",1989,7,-0.180330594380697,1989.54166666667
"08/01/89",1989,8,0.258224781935777,1989.625
"09/01/89",1989,9,0.545463399189275,1989.70833333333
"10/01/89",1989,10,0.236246738330459,1989.79166666667
"11/01/89",1989,11,-0.222996287875705,1989.875
"12/01/89",1989,12,-0.325035758134795,1989.95833333333
"01/01/90",1990,1,-0.124599724281125,1990.04166666667
"02/01/90",1990,2,-0.443208527112718,1990.125
"03/01/90",1990,3,-0.567007626944441,1990.20833333333
"04/01/90",1990,4,-0.350531152270351,1990.29166666667
