"Survey","Haul","Latitude","Longitude","length","weight","Age","maturity_table_3","julian","year","sex.code","log.weight","sc.weight","year.class","apr.jul.wSST","nov.feb.wSST","annual.wSST","poll.SSB.2020","age.factor","prevyr_annual.wSST","cohort"
199605,33,58.3265,-153.86433,530,1218,8,"4",84,1996,"1",7.10496544826984,0.610426338168176,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,33,58.3265,-153.86433,500,882,8,"4",84,1996,"1",6.78219205600679,-0.603899203345007,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,33,58.3265,-153.86433,580,1642,8,"3",84,1996,"1",7.40367029001237,1.73420211212044,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,32,58.32583,-153.87567,510,1010,8,"4",84,1996,"1",6.9177056098353,-0.0940753653841765,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,32,58.32583,-153.87567,620,1776,8,"3",84,1996,"1",7.48211892355212,2.02933851954302,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,32,58.32583,-153.87567,460,684,8,"3",84,1996,"1",6.52795791762255,-1.56036902138063,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,32,58.32583,-153.87567,540,1196,8,"3",84,1996,"1",7.08673793451058,0.541851492636545,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,32,58.32583,-153.87567,500,976,8,"3",84,1996,"1",6.88346258641309,-0.222903140402071,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,32,58.32583,-153.87567,500,762,8,"3",84,1996,"1",6.63594655568665,-1.15409835428802,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,32,58.32583,-153.87567,490,948,8,"3",84,1996,"1",6.85435450225502,-0.332412446016872,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,3,56.225,-156.37,490,962,8,"3",77,1996,"1",6.86901445066571,-0.277259356514834,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
199605,3,56.225,-156.37,520,1036,8,"3",77,1996,"1",6.94312242281943,0.00154678294126999,1988,7.58971921602885,4.79376306003994,7.16670530151438,359,"8",6.85464304244077,"1988"
