"","year","month","anom","dec.yr"
"02/01/86",1986,2,0.334398941388206,1986.125
"03/01/86",1986,3,-0.0990197532391421,1986.20833333333
"04/01/86",1986,4,-0.18625066520045,1986.29166666667
"05/01/86",1986,5,-0.889828046162923,1986.375
"06/01/86",1986,6,-1.32264769266522,1986.45833333333
"07/01/86",1986,7,-1.33125672264705,1986.54166666667
"08/01/86",1986,8,-1.06552269597533,1986.625
"09/01/86",1986,9,-0.426984474141762,1986.70833333333
"10/01/86",1986,10,0.248902204806212,1986.79166666667
"11/01/86",1986,11,1.10043296359834,1986.875
"12/01/86",1986,12,0.825544541475003,1986.95833333333
"01/01/87",1987,1,0.599590913959281,1987.04166666667
"02/01/87",1987,2,0.743584244970291,1987.125
"03/01/87",1987,3,0.639308571184754,1987.20833333333
"04/01/87",1987,4,0.684608772318199,1987.29166666667
"05/01/87",1987,5,0.301907883750068,1987.375
"06/01/87",1987,6,-0.628174320099846,1987.45833333333
"07/01/87",1987,7,-1.0689993585859,1987.54166666667
"08/01/87",1987,8,-0.210238958792712,1987.625
"09/01/87",1987,9,0.0809649311045489,1987.70833333333
"10/01/87",1987,10,0.195842944755756,1987.79166666667
"11/01/87",1987,11,0.25011564436413,1987.875
"12/01/87",1987,12,0.172232706080038,1987.95833333333
"01/01/88",1988,1,0.214194168489446,1988.04166666667
"02/01/88",1988,2,0.60228653370388,1988.125
"03/01/88",1988,3,0.247139678430305,1988.20833333333
"04/01/88",1988,4,0.0424331243706758,1988.29166666667
"05/01/88",1988,5,-0.0919671853383382,1988.375
"06/01/88",1988,6,-0.205993879409063,1988.45833333333
"07/01/88",1988,7,-0.123397365448967,1988.54166666667
"08/01/88",1988,8,-0.424519087271716,1988.625
"09/01/88",1988,9,-0.39661164258523,1988.70833333333
"10/01/88",1988,10,-0.292347388292747,1988.79166666667
"11/01/88",1988,11,0.00941518753293952,1988.875
"12/01/88",1988,12,-0.0854284246131858,1988.95833333333
"01/01/89",1989,1,-0.240062578014596,1989.04166666667
"02/01/89",1989,2,-0.705907043956575,1989.125
"03/01/89",1989,3,-0.538555079667026,1989.20833333333
"04/01/89",1989,4,0.0807405262397079,1989.29166666667
"05/01/89",1989,5,-0.401264005237155,1989.375
"06/01/89",1989,6,-0.593665561978779,1989.45833333333
"07/01/89",1989,7,-0.179967842404805,1989.54166666667
"08/01/89",1989,8,0.257079258166923,1989.625
"09/01/89",1989,9,0.546488650892147,1989.70833333333
"10/01/89",1989,10,0.260029252874788,1989.79166666667
"11/01/89",1989,11,-0.205018694438632,1989.875
"12/01/89",1989,12,-0.296641271581095,1989.95833333333
"01/01/90",1990,1,-0.131140838224421,1990.04166666667
"02/01/90",1990,2,-0.448116425483946,1990.125
"03/01/90",1990,3,-0.569732097090867,1990.20833333333
"04/01/90",1990,4,-0.350098826897838,1990.29166666667
